sku,qty,ref,val
A-321,30,C1 C2 C3 ,1u,tayda
A-214,10,C4 ,0.1u,tayda
A-615,10,D1 ,1n914,tayda
A-4118,10,J3 ,Barrel_Jack,tayda
A-111,10,Q1 ,2N3904,tayda
A-2190,10,R11 ,47,tayda
A-2247,10,R12 ,470,tayda
A-2278,10,R13 ,180,tayda
A-2202,10,R14 ,1.5k,tayda
A-2200,20,R2 R15 ,1k,tayda
A-2245,10,R16 ,100,tayda
A-2310,20,R1 R5 ,4.7k,tayda
A-2281,10,R6 ,680,tayda
A-2201,30,R3 R4 R7 ,1.2k,tayda
A-2193,20,R8 R10 ,75,tayda
A-2210,10,R9 ,150k,tayda
A-4568,10,SW1 ,SW_DPDT_x2,tayda
A-022,10,U1 ,LM339,tayda
A-500,10,U2 ,LM317,tayda
